i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
4;4;4;6;7;9;9;9;9;804;372;924;24;192;12;144
2;3;4;7;8;9;9;9;9;942;132;354;4;50;24;54
2;4;5;6;7;8;8;9;9;290;128;160;25;46;1;56
5;5;5;6;8;9;9;9;9;3480;2184;5592;0;1044;144;996
5;5;6;7;7;9;9;9;9;5040;3744;7920;0;1872;168;1704
5;6;6;6;8;8;8;9;9;3876;3120;2064;528;528;42;2022
3;5;6;9;9;9;9;9;9;5640;4344;15096;0;2220;528;1596
4;5;5;5;7;9;9;9;9;1080;432;1512;0;216;0;216
3;5;6;7;8;8;8;9;9;2210;1778;1138;216;338;26;1198
2;3;5;5;7;8;9;9;9;161;53;91;10;16;12;15
2;4;7;7;8;8;8;9;9;996;780;516;96;156;0;528
6;7;7;7;7;7;8;9;9;4440;4080;1320;0;3480;0;600
2;4;6;9;9;9;9;9;9;2388;1524;4956;72;804;96;552
3;4;6;6;9;9;9;9;9;2496;1416;3768;36;720;108;552
2;8;8;8;8;8;9;9;9;5088;5088;7872;480;1008;1152;2448
3;4;6;6;8;8;9;9;9;1692;1044;1548;36;440;240;328
2;3;4;6;7;7;8;9;9;94;22;14;2;16;0;4
4;7;7;7;7;8;9;9;9;6846;6306;6654;144;3420;672;2070
3;7;7;8;8;8;9;9;9;7344;6840;10440;396;1632;1668;3144
2;3;4;5;8;9;9;9;9;306;36;126;0;18;0;18
2;5;5;6;7;8;8;9;9;372;192;240;36;70;2;84
4;5;6;6;7;8;8;9;9;1576;928;1016;60;332;18;518
4;5;5;6;7;8;8;9;9;1094;554;742;48;184;10;312
3;5;6;6;9;9;9;9;9;3228;2256;5520;102;1152;162;840
2;4;5;8;8;9;9;9;9;1506;750;1842;66;330;120;234
2;5;6;6;9;9;9;9;9;1788;1140;2748;120;648;36;336
2;5;7;7;7;7;9;9;9;1200;984;312;36;828;0;120
5;5;5;7;7;8;8;9;9;2088;1224;1368;72;432;24;696
3;5;7;8;9;9;9;9;9;5750;4886;15850;56;2148;1010;1672
3;4;5;5;6;7;8;9;9;143;17;55;1;8;1;7
8;8;8;8;9;9;9;9;9;20160;20160;161280;0;0;11520;8640
6;6;7;7;7;9;9;9;9;10080;9216;16704;0;4608;360;4248
2;4;5;7;8;9;9;9;9;1206;558;1386;56;262;72;168
5;6;8;8;8;9;9;9;9;13320;12888;38952;0;3492;3960;5436
3;5;5;5;6;8;9;9;9;392;104;328;8;48;8;40
3;3;4;9;9;9;9;9;9;4080;480;1680;0;240;0;240
3;4;5;6;8;8;9;9;9;1286;674;1054;26;268;168;212
3;5;7;8;8;8;8;9;9;3744;3312;1872;416;356;36;2504
2;4;8;8;8;8;9;9;9;2064;1776;2544;144;360;432;840
3;5;5;8;9;9;9;9;9;4152;2640;7728;12;1272;300;1056
3;7;7;7;7;8;9;9;9;4640;4280;4360;180;2368;436;1296
2;6;6;7;7;9;9;9;9;1812;1380;2508;124;764;48;444
2;3;5;9;9;9;9;9;9;1920;480;1680;0;240;0;240
2;7;7;7;8;8;8;9;9;2304;2088;1152;240;480;0;1368
5;5;6;7;7;8;9;9;9;4608;3312;4464;24;1728;388;1172
5;5;7;7;7;7;9;9;9;4680;3816;1368;72;3168;48;528
4;8;8;8;8;9;9;9;9;13680;13680;44640;360;2916;4932;5472
4;7;7;7;7;7;9;9;9;5400;4968;1512;72;4200;48;648
5;6;6;6;6;7;9;9;9;3264;384;1344;0;192;0;192
3;4;4;6;7;7;8;9;9;232;88;56;8;64;0;16
3;3;4;6;6;7;9;9;9;236;20;52;4;8;0;8
3;6;6;8;9;9;9;9;9;5920;5056;15680;56;2232;1016;1752
4;4;4;8;8;9;9;9;9;2376;1080;2808;36;396;216;432
7;7;7;8;8;9;9;9;9;18720;18720;59040;0;4320;5616;8784
7;8;8;8;8;8;8;9;9;25920;25920;12960;0;720;0;25200
3;6;6;6;6;7;8;9;9;824;104;328;8;52;4;40
4;4;4;7;8;8;9;9;9;1392;744;1200;48;192;216;288
3;3;4;6;7;8;8;9;9;318;66;78;8;24;0;34
2;5;7;7;9;9;9;9;9;2720;2072;5704;136;1016;280;640
3;3;6;6;6;8;8;9;9;212;68;148;24;16;0;28
4;8;9;9;9;9;9;9;9;11520;11520;105120;0;6192;4368;960
2;3;8;8;8;9;9;9;9;1224;1008;2232;48;312;216;432
6;6;6;8;8;9;9;9;9;11520;10872;28008;0;3888;2304;4680
6;6;7;9;9;9;9;9;9;14400;14256;72144;0;5184;4728;4344
4;4;6;7;7;9;9;9;9;2816;1952;3880;104;968;108;772
2;4;4;5;7;8;8;9;9;92;20;52;10;4;0;6
2;7;7;7;8;8;9;9;9;3060;2844;3636;216;1128;468;1032
4;4;5;5;8;8;9;9;9;888;456;840;24;144;144;144
4;5;5;5;7;8;9;9;9;954;414;882;18;144;108;144
3;4;6;7;7;8;8;9;9;1050;726;570;60;286;10;370
4;5;5;7;8;9;9;9;9;3708;2520;6228;8;1132;296;1084
3;6;6;6;8;8;9;9;9;3048;2184;3000;88;1024;376;696
3;6;7;8;8;8;8;9;9;4926;4422;2490;492;486;48;3396
3;3;4;5;6;8;9;9;9;160;16;56;0;8;0;8
3;4;4;6;6;9;9;9;9;408;120;312;24;48;0;48
2;3;5;6;7;7;8;9;9;117;45;27;3;34;0;8
4;5;5;7;7;8;9;9;9;2462;1598;2290;36;764;274;524
2;3;4;6;9;9;9;9;9;816;96;336;0;48;0;48
2;3;6;8;9;9;9;9;9;1512;648;1944;12;276;72;288
3;4;8;9;9;9;9;9;9;5040;4464;17136;0;2376;432;1656
3;4;5;5;8;9;9;9;9;846;306;990;18;144;18;126
3;4;6;6;6;7;8;9;9;416;56;160;6;26;3;21
2;5;8;8;9;9;9;9;9;3384;2952;10008;96;1344;504;1008
4;7;7;7;8;8;8;9;9;6804;6156;3564;324;1260;72;4500
2;4;5;7;7;7;9;9;9;492;312;120;20;252;2;38
2;4;5;7;7;8;9;9;9;679;373;491;30;190;57;96
2;5;5;5;6;9;9;9;9;192;84;240;12;48;0;24
2;3;4;5;6;7;9;9;9;58;4;14;0;2;0;2
2;5;5;5;7;8;8;9;9;208;64;152;24;16;0;24
3;3;5;5;9;9;9;9;9;816;240;624;48;96;0;96
4;5;6;6;6;8;9;9;9;1744;448;1496;16;216;16;200
4;5;5;5;7;7;8;9;9;414;198;126;18;144;0;36
3;4;6;6;7;7;8;9;9;544;256;176;12;196;6;42
2;6;8;8;9;9;9;9;9;4056;3768;13512;144;1776;720;1128
4;5;6;6;6;7;8;9;9;922;112;374;4;54;4;50
4;7;7;8;8;9;9;9;9;10744;10312;28568;192;3124;2952;4044
2;4;6;6;6;7;9;9;9;420;60;156;8;32;0;20
3;4;5;5;6;7;9;9;9;286;34;110;2;16;2;14
2;7;8;8;8;9;9;9;9;4512;4296;11904;288;1512;1080;1416
3;6;6;7;7;8;8;9;9;1940;1508;1084;96;604;24;784
4;5;6;7;8;9;9;9;9;5024;3890;9232;26;1652;609;1603
4;4;6;6;6;8;9;9;9;1184;320;976;32;144;16;128
4;7;7;8;8;8;8;9;9;8928;8496;4464;576;996;84;6840
2;5;6;6;7;9;9;9;9;1040;608;1336;64;344;20;180
2;6;7;7;7;8;8;9;9;1260;1080;648;96;462;0;522
2;7;7;8;8;8;9;9;9;3762;3510;5130;300;996;744;1470
3;3;5;5;8;8;8;9;9;260;116;100;32;16;0;68
2;3;5;8;8;8;8;9;9;552;264;168;36;24;0;204
2;3;5;7;8;9;9;9;9;928;280;692;14;118;40;108
2;3;4;5;7;8;9;9;9;149;23;49;1;8;6;8
2;4;7;7;7;7;9;9;9;808;664;200;24;552;0;88
4;5;6;6;8;9;9;9;9;3788;2600;6148;8;1204;256;1132
2;5;8;8;8;8;8;9;9;2340;2124;1116;288;144;0;1692
3;5;7;9;9;9;9;9;9;6240;5376;20544;0;2712;840;1824
3;4;9;9;9;9;9;9;9;5040;5040;20880;0;2880;360;1800
3;5;6;7;7;8;9;9;9;2450;1694;2194;62;892;224;516
2;4;9;9;9;9;9;9;9;2640;2640;10320;0;1440;0;1200
4;4;4;5;8;8;9;9;9;444;228;420;12;72;72;72
4;4;8;9;9;9;9;9;9;6960;6528;25872;0;3552;672;2304
5;6;8;8;8;8;8;9;9;11796;11616;5664;960;744;138;9774
2;4;6;7;8;8;9;9;9;1246;814;1130;60;308;166;280
7;7;7;7;7;8;8;9;9;8640;8640;4320;0;3600;0;5040
4;5;7;8;8;8;8;9;9;5498;5066;2710;576;564;62;3864
2;3;4;9;9;9;9;9;9;2040;240;840;0;120;0;120
2;6;6;6;8;9;9;9;9;1712;1280;2608;124;656;104;396
4;4;6;7;7;8;9;9;9;2468;1712;2176;76;888;206;542
4;8;8;9;9;9;9;9;9;12240;12240;84960;0;5184;4848;2208
6;6;8;8;8;9;9;9;9;15840;15624;49176;0;3744;4968;6912
3;5;6;6;6;7;9;9;9;1236;156;492;12;76;8;60
2;5;6;7;7;7;8;9;9;504;342;144;14;284;0;44
3;3;6;7;7;9;9;9;9;1344;696;1248;56;352;24;264
3;5;6;6;8;9;9;9;9;2654;1790;4042;80;828;212;670
4;4;4;8;9;9;9;9;9;2880;1152;4032;0;576;0;576
3;3;4;6;6;9;9;9;9;420;60;156;12;24;0;24
3;3;4;8;9;9;9;9;9;3264;384;1344;0;192;0;192
2;4;6;6;8;8;8;9;9;588;372;276;84;64;4;220
3;4;7;7;7;7;9;9;9;1600;1312;416;44;1084;12;172
6;6;7;7;7;7;9;9;9;7680;6240;2400;0;5280;0;960
2;3;5;5;8;9;9;9;9;306;90;234;18;36;0;36
3;7;8;8;9;9;9;9;9;8598;8418;34782;186;3456;2532;2244
2;3;4;7;7;9;9;9;9;640;100;224;8;52;4;36
2;6;7;7;7;7;9;9;9;1584;1296;432;48;1104;0;144
3;7;7;9;9;9;9;9;9;8160;7872;35328;0;3840;1824;2208
4;7;7;7;7;9;9;9;9;7752;7104;12336;216;3504;432;2952
5;5;7;7;7;8;9;9;9;5760;4680;5688;36;2448;576;1620
5;5;5;7;9;9;9;9;9;5520;4224;11328;0;2088;312;1824
4;5;6;7;8;8;8;9;9;3236;2642;1732;302;482;41;1817
2;3;5;5;9;9;9;9;9;408;120;312;24;48;0;48
5;5;7;8;9;9;9;9;9;9920;9272;32200;0;3816;2140;3316
5;5;6;7;8;8;9;9;9;5952;4872;6792;108;1920;876;1968
3;7;7;7;7;7;8;9;9;1812;1668;492;36;1416;12;204
5;5;5;7;7;7;8;9;9;1332;900;396;36;720;12;132
4;4;7;7;8;8;9;9;9;4072;3208;4568;176;1024;712;1296
2;5;5;7;7;8;9;9;9;880;556;740;48;288;86;134
2;4;4;6;8;8;9;9;9;440;152;280;32;48;48;24
2;4;4;6;6;7;8;9;9;82;10;26;4;4;0;2
5;6;6;6;7;8;9;9;9;4548;2640;4272;6;1416;210;1008
2;4;6;6;7;7;8;9;9;276;132;84;8;104;0;20
2;4;4;6;8;8;8;9;9;256;112;104;32;16;0;64
3;3;6;6;8;9;9;9;9;1284;636;1308;56;280;64;236
3;3;6;7;8;9;9;9;9;1896;924;1992;52;368;146;358
2;4;5;8;8;8;8;9;9;798;546;318;112;58;2;374
3;5;5;6;8;9;9;9;9;1972;1108;2780;32;520;128;428
3;4;4;8;8;8;9;9;9;1840;688;1040;48;160;192;288
4;4;4;6;7;8;9;9;9;678;318;546;24;156;42;96
2;4;4;5;6;7;8;9;9;40;4;14;1;2;0;1
2;6;6;6;8;8;9;9;9;1552;1120;1472;80;568;160;312
3;3;4;5;7;8;8;9;9;164;20;52;4;4;0;12
2;4;7;7;7;8;8;9;9;664;520;344;48;216;0;256
3;6;6;7;7;8;9;9;9;3168;2304;2880;88;1264;248;704
2;3;4;7;8;8;9;9;9;664;124;200;8;32;36;48
3;5;5;5;7;9;9;9;9;744;312;984;24;144;24;120
2;4;5;6;8;9;9;9;9;896;356;940;46;176;32;102
4;5;7;7;8;8;9;9;9;5744;4880;6784;184;1688;1004;2004
2;4;5;7;9;9;9;9;9;1516;652;1940;72;348;40;192
3;6;8;8;8;8;9;9;9;7284;6780;10500;396;1512;1728;3144
4;5;5;7;9;9;9;9;9;4400;3104;8560;0;1536;232;1336
3;6;7;7;7;7;8;9;9;1566;1278;450;30;1074;12;162
3;3;9;9;9;9;9;9;9;2880;2880;10080;0;1440;0;1440
4;4;6;8;9;9;9;9;9;5120;3824;11728;0;1848;424;1552
2;4;6;6;6;8;8;9;9;210;66;150;24;16;0;26
4;4;5;6;6;7;9;9;9;824;104;328;8;48;4;44
5;5;7;7;8;8;8;9;9;5528;4880;2896;384;960;64;3472
4;7;7;7;9;9;9;9;9;10080;9432;29448;0;3816;2016;3600
2;4;5;7;8;8;9;9;9;964;532;764;61;186;120;165
2;4;4;8;8;8;8;9;9;552;264;168;66;24;0;174
2;3;7;8;8;9;9;9;9;1224;792;1800;36;252;168;336
2;4;5;6;6;8;8;9;9;151;43;101;17;10;0;16
3;3;4;8;8;8;9;9;9;1784;344;520;24;80;96;144
2;3;7;7;8;8;9;9;9;794;578;718;40;188;114;236
3;7;7;8;9;9;9;9;9;7836;7476;27084;132;3072;2040;2232
3;3;5;6;6;8;8;9;9;188;44;100;20;8;0;16
4;7;7;9;9;9;9;9;9;11280;11064;53736;0;4632;3408;3024
4;5;7;7;7;8;8;9;9;2884;2236;1652;96;880;40;1220
5;6;6;8;9;9;9;9;9;10320;9672;31800;0;4068;1976;3628
4;5;8;8;8;9;9;9;9;8496;7848;21312;108;2580;2136;3024
4;6;7;7;7;8;9;9;9;5730;4866;5502;104;2636;514;1612
2;5;5;5;7;9;9;9;9;384;168;480;24;96;0;48
5;8;9;9;9;9;9;9;9;12960;12960;142560;0;5076;6804;1080
3;4;5;5;9;9;9;9;9;1128;408;1320;24;192;24;168
2;4;5;7;7;7;8;9;9;246;156;60;10;126;1;19
3;3;6;6;7;8;8;9;9;402;222;210;30;84;2;106
2;5;8;8;8;9;9;9;9;3276;2628;7092;144;936;648;900
3;3;5;8;8;9;9;9;9;2448;720;1872;24;264;144;288
2;3;4;5;6;9;9;9;9;102;12;42;0;6;0;6
2;4;6;6;7;8;8;9;9;396;216;216;30;84;2;100
4;4;5;7;7;8;8;9;9;1064;632;664;48;232;12;340
5;5;5;5;9;9;9;9;9;2880;1152;4032;0;576;0;576
3;5;6;8;8;8;8;9;9;2918;2486;1402;360;258;32;1836
2;4;5;6;7;7;9;9;9;392;176;112;16;136;0;24
3;6;6;7;7;7;9;9;9;2640;1776;816;48;1464;24;240
3;8;8;8;9;9;9;9;9;9360;9360;42480;240;3840;3024;2256
2;5;7;7;8;8;8;9;9;1436;1220;724;144;264;0;812
2;3;8;8;8;8;9;9;9;1068;924;1236;72;180;216;456
3;3;4;7;9;9;9;9;9;2448;288;1008;0;144;0;144
2;3;6;8;8;9;9;9;9;1224;576;1368;24;192;120;240
2;3;4;7;7;7;8;9;9;130;40;14;2;32;0;6
6;6;6;8;8;8;8;9;9;9000;8568;4392;936;936;108;6588
3;4;8;8;8;8;8;9;9;3084;2904;1416;420;204;18;2262
3;4;5;8;8;8;9;9;9;2416;1408;2048;96;376;368;568
3;4;6;7;7;8;9;9;9;1754;1160;1432;58;604;145;353
3;3;4;5;8;9;9;9;9;612;72;252;0;36;0;36
3;3;5;9;9;9;9;9;9;3840;960;3360;0;480;0;480
3;5;8;8;8;8;8;9;9;4564;4348;2132;588;300;40;3420
2;6;6;6;6;9;9;9;9;756;324;972;36;180;0;108
3;7;7;8;8;8;8;9;9;6096;5520;3120;528;624;48;4320
5;7;7;7;8;8;8;9;9;8868;8436;4524;276;1788;72;6300
2;4;5;5;8;9;9;9;9;576;144;504;36;72;0;36
3;4;5;5;7;9;9;9;9;564;204;660;12;96;12;84
3;5;7;7;9;9;9;9;9;4980;4116;11436;112;1872;692;1440
5;5;5;5;8;8;8;9;9;1104;672;624;96;96;0;480
4;4;5;5;8;8;8;9;9;552;336;312;48;48;0;240
2;4;5;6;7;9;9;9;9;610;250;614;32;136;8;74
4;4;4;7;8;9;9;9;9;1764;792;2124;24;300;144;324
3;6;6;9;9;9;9;9;9;6480;5616;20304;0;2808;864;1944
2;5;5;6;6;9;9;9;9;384;168;480;24;96;0;48
4;6;7;7;8;9;9;9;9;7808;6944;16384;76;2700;1384;2784
5;7;7;7;9;9;9;9;9;12720;12288;39552;0;4680;2712;4896
2;4;6;6;8;8;9;9;9;960;528;768;40;240;104;144
2;7;7;7;7;9;9;9;9;2712;2496;3984;216;1368;72;840
4;5;9;9;9;9;9;9;9;9360;9360;48960;0;5184;1776;2400
4;4;5;6;6;8;9;9;9;784;208;656;16;96;8;88
7;7;8;8;8;8;9;9;9;23280;23280;41520;0;2880;5712;14688
4;4;6;9;9;9;9;9;9;5760;4464;14976;0;2328;384;1752
4;4;5;5;7;7;9;9;9;552;264;168;24;192;0;48
3;4;4;6;8;9;9;9;9;1200;336;960;8;136;48;144
2;4;4;9;9;9;9;9;9;1920;480;1680;120;240;0;120
6;6;6;7;7;7;8;9;9;3240;2160;1080;0;1800;0;360
3;5;6;6;6;8;8;9;9;618;186;462;54;38;4;90
3;3;7;7;8;8;8;9;9;1008;792;504;96;156;0;540
5;6;6;6;7;8;8;9;9;2724;1716;1740;84;624;24;984
3;3;4;7;7;9;9;9;9;1280;200;448;16;104;8;72
5;6;7;7;7;8;8;9;9;4908;4188;2724;60;1680;48;2400
4;5;5;5;6;7;9;9;9;612;72;252;0;36;0;36
5;5;5;7;7;9;9;9;9;3600;2304;5472;0;1152;96;1056
3;3;4;5;6;8;8;9;9;82;10;26;2;2;0;6
3;3;5;5;6;7;9;9;9;164;20;52;4;8;0;8
6;6;8;9;9;9;9;9;9;14880;14808;93192;0;4896;6120;3792
2;5;5;7;8;9;9;9;9;1414;874;2042;92;436;96;250
3;4;4;5;6;9;9;9;9;192;48;168;0;24;0;24
3;3;4;5;6;7;9;9;9;116;8;28;0;4;0;4
2;6;6;8;8;8;9;9;9;2568;2136;3048;168;768;456;744
4;7;7;7;7;7;8;9;9;2700;2484;756;36;2100;24;324
3;4;4;7;9;9;9;9;9;2304;576;2016;0;288;0;288
3;4;5;5;6;9;9;9;9;282;102;330;6;48;6;42
6;6;6;7;8;9;9;9;9;9720;8748;20412;0;3600;1326;3822
5;5;5;5;6;8;9;9;9;768;192;672;0;96;0;96
3;3;5;5;6;8;8;9;9;94;22;50;10;4;0;8
4;4;5;6;7;9;9;9;9;1376;728;1864;16;368;36;308
7;7;7;7;9;9;9;9;9;17280;17280;60480;0;5760;4032;7488
2;6;6;6;7;8;9;9;9;1202;698;1030;52;404;50;192
4;5;6;7;9;9;9;9;9;5800;4612;12884;0;2172;578;1862
6;6;6;6;7;7;8;9;9;2640;1200;960;0;960;0;240
3;3;7;8;8;8;8;9;9;1344;1056;672;144;96;0;816
3;3;6;8;8;8;9;9;9;1896;1032;1560;72;240;288;432
5;7;8;8;8;8;8;9;9;14604;14460;7140;732;948;120;12660
4;6;6;8;8;8;8;9;9;5516;5084;2692;656;548;76;3804
3;3;4;7;8;8;8;9;9;708;168;156;24;24;0;120
2;6;6;7;8;8;8;9;9;1434;1218;726;192;258;8;760
2;4;4;5;7;7;8;9;9;58;22;14;4;16;0;2
3;6;6;7;7;9;9;9;9;3536;2672;5104;128;1352;184;1008
3;3;5;6;8;8;9;9;9;936;360;504;24;144;76;116
2;4;4;8;9;9;9;9;9;1536;384;1344;96;192;0;96
3;3;5;6;6;8;9;9;9;368;80;208;16;32;0;32
4;5;6;7;7;8;9;9;9;3538;2512;3320;50;1308;317;837
3;5;6;6;7;8;9;9;9;1813;1003;1589;43;522;122;316
6;6;7;8;8;8;9;9;9;14280;13704;20856;0;3936;2724;7044
5;6;6;7;7;8;9;9;9;6024;4512;5856;12;2448;412;1640
4;4;4;5;8;9;9;9;9;540;216;756;0;108;0;108
3;6;7;7;8;8;8;9;9;3710;3278;1906;312;682;36;2248
2;3;5;5;6;9;9;9;9;102;30;78;6;12;0;12
4;4;4;6;6;8;9;9;9;408;120;312;24;48;0;48
4;5;6;6;7;8;9;9;9;2650;1462;2426;22;760;164;516
4;4;4;5;7;9;9;9;9;360;144;504;0;72;0;72
3;3;7;7;9;9;9;9;9;2328;1464;3720;72;648;168;576
3;3;4;5;7;7;8;9;9;94;22;14;2;16;0;4
4;4;7;7;7;8;9;9;9;3092;2444;2740;120;1264;296;764
2;5;6;6;8;8;8;9;9;792;576;396;138;104;6;328
2;4;4;8;8;8;9;9;9;920;344;520;72;80;96;96
2;3;7;7;7;7;8;9;9;204;168;48;6;138;0;24
3;3;4;6;7;9;9;9;9;844;124;308;8;64;4;48
4;4;7;8;8;9;9;9;9;5396;4532;11020;152;1656;960;1764
2;4;6;7;7;8;9;9;9;916;592;704;40;322;60;170
3;8;8;8;8;9;9;9;9;9600;9600;29280;480;2640;3072;3408
4;5;5;5;8;9;9;9;9;1620;648;2268;0;324;0;324
4;5;6;6;7;7;8;9;9;1202;554;418;14;432;10;98
4;5;6;7;7;8;8;9;9;2230;1582;1334;78;606;30;868
2;6;6;6;8;8;8;9;9;996;780;516;192;144;8;436
3;4;8;8;8;8;9;9;9;3956;3596;5044;288;764;876;1668
3;3;7;7;7;8;9;9;9;1160;872;856;52;452;88;280
2;4;5;6;6;8;9;9;9;292;76;212;12;40;0;24
5;7;8;9;9;9;9;9;9;14120;14048;93952;0;4644;6344;3060
3;3;5;6;6;7;8;9;9;164;20;52;4;8;0;8
2;3;4;6;6;8;9;9;9;164;20;52;4;8;0;8
4;4;5;5;7;9;9;9;9;720;288;1008;0;144;0;144
5;7;7;8;9;9;9;9;9;13760;13472;55648;0;4356;4508;4608
3;3;4;5;7;8;9;9;9;298;46;98;2;16;12;16
2;6;7;7;7;8;9;9;9;2022;1662;1794;108;972;138;444
2;5;9;9;9;9;9;9;9;3600;3600;15840;0;2160;0;1440
5;7;7;7;8;8;9;9;9;11460;10920;15000;138;3888;1926;4968
2;5;7;8;8;8;8;9;9;1888;1672;920;216;204;0;1252
4;4;5;7;7;7;9;9;9;1352;920;376;40;736;12;132
3;3;4;6;8;8;8;9;9;472;112;104;16;16;0;80
4;4;5;6;8;8;9;9;9;1636;988;1604;28;392;240;328
2;3;6;9;9;9;9;9;9;1800;720;2520;0;360;0;360
4;4;4;7;9;9;9;9;9;2160;864;3024;0;432;0;432
6;7;8;8;9;9;9;9;9;17040;16968;91032;0;3600;7644;5724
4;4;6;6;8;9;9;9;9;2776;1696;4136;16;752;216;712
4;5;7;9;9;9;9;9;9;8480;7832;31048;0;3768;1544;2520
4;4;4;5;6;7;9;9;9;204;24;84;0;12;0;12
3;6;6;8;8;9;9;9;9;5360;4496;11056;112;1656;1072;1656
3;6;6;6;6;8;9;9;9;1568;416;1312;32;208;16;160
2;5;5;6;7;7;9;9;9;548;260;172;20;204;2;34
3;3;5;6;8;8;8;9;9;534;246;186;50;40;2;154
2;6;8;9;9;9;9;9;9;4188;4044;17556;72;2328;432;1212
4;5;5;5;6;9;9;9;9;540;216;756;0;108;0;108
3;3;7;9;9;9;9;9;9;3360;1920;6720;0;960;0;960
3;4;5;5;8;8;9;9;9;674;314;550;28;96;106;84
2;5;5;6;9;9;9;9;9;1278;738;1854;84;420;24;210
2;3;8;9;9;9;9;9;9;1560;1200;4200;0;600;0;600
2;5;5;6;7;9;9;9;9;712;388;908;44;220;12;112
3;5;5;7;8;8;9;9;9;2362;1606;2282;90;556;372;588
3;3;4;6;7;7;8;9;9;188;44;28;4;32;0;8
2;7;8;8;8;8;9;9;9;4464;4176;6624;384;864;1008;1920
3;4;5;7;8;8;9;9;9;1861;1051;1541;61;342;258;390
4;7;7;7;8;8;9;9;9;8796;8148;11292;216;2784;1620;3528
5;6;6;7;7;9;9;9;9;6480;5184;10368;0;2592;224;2368
2;5;5;6;8;8;8;9;9;536;374;274;89;66;4;215
7;7;7;8;9;9;9;9;9;18000;18000;85680;0;4320;6840;6840
4;6;6;7;7;8;8;9;9;2884;2236;1652;96;880;36;1224
2;5;6;7;8;8;9;9;9;1674;1242;1674;92;518;222;410
2;3;6;6;6;8;8;9;9;106;34;74;12;8;0;14
2;5;5;6;7;7;8;9;9;274;130;86;10;102;1;17
2;5;6;7;8;8;8;9;9;1114;898;560;141;184;5;568
5;5;7;8;8;8;9;9;9;9072;8424;12312;348;2256;1880;3940
3;4;5;6;7;9;9;9;9;1106;494;1234;22;248;34;190
6;8;9;9;9;9;9;9;9;13200;13200;181200;0;3312;8688;1200
5;5;5;5;7;7;9;9;9;1104;528;336;48;384;0;96
4;4;4;6;8;8;9;9;9;888;456;840;24;144;144;144
2;4;4;5;8;8;9;9;9;220;76;140;16;24;24;12
3;7;7;7;9;9;9;9;9;7032;6600;19320;264;2880;1320;2136
2;5;5;7;9;9;9;9;9;1728;1080;2808;120;576;80;304
3;7;7;7;7;8;8;9;9;3048;2760;1560;168;1152;24;1416
2;4;4;7;7;9;9;9;9;632;200;448;52;104;8;36
2;3;7;7;7;9;9;9;9;712;496;800;40;248;16;192
5;6;6;7;8;8;9;9;9;7716;6528;9024;54;2688;1058;2728
3;3;4;5;8;8;9;9;9;436;76;140;4;24;24;24
4;6;6;9;9;9;9;9;9;8880;8232;30648;0;3960;1464;2808
4;5;5;6;6;8;8;9;9;614;182;466;42;36;2;102
5;6;7;8;8;8;9;9;9;11676;11064;16584;174;3096;2378;5416
4;6;6;6;6;7;8;9;9;1230;150;498;6;72;6;66
3;5;5;5;9;9;9;9;9;1488;624;1968;48;288;48;240
2;3;5;6;6;7;8;9;9;82;10;26;2;4;0;4
3;7;8;8;8;9;9;9;9;8556;8340;24060;372;2472;2520;2976
2;5;7;7;7;9;9;9;9;1968;1320;2568;120;744;48;408
3;4;7;7;7;7;8;9;9;800;656;208;22;542;6;86
3;3;6;7;7;7;8;9;9;348;240;84;12;192;0;36
3;5;7;7;8;8;8;9;9;2842;2410;1478;256;480;30;1644
4;6;7;8;8;8;8;9;9;7222;6790;3578;616;772;86;5316
2;4;8;8;8;8;8;9;9;1572;1428;732;192;96;0;1140
3;6;6;7;8;9;9;9;9;4448;3584;8080;120;1504;656;1304
2;4;7;7;7;7;8;9;9;404;332;100;12;276;0;44
5;5;5;6;8;8;9;9;9;3132;2052;3132;36;888;408;720
4;4;7;8;8;8;8;9;9;3756;3324;1860;456;360;24;2484
2;4;6;6;6;9;9;9;9;396;180;468;24;96;0;60
4;4;6;6;7;9;9;9;9;2032;1168;2720;32;592;72;472
5;5;5;5;7;8;9;9;9;1272;552;1176;24;192;144;192
4;6;6;8;8;9;9;9;9;7548;6684;16644;76;2484;1476;2648
3;3;7;7;7;7;8;9;9;408;336;96;12;276;0;48
4;6;8;8;8;8;8;9;9;8924;8708;4252;888;576;104;7140
3;4;5;6;8;9;9;9;9;1586;722;1870;20;328;88;286
2;3;6;7;7;8;8;9;9;296;188;136;18;76;0;94
7;8;9;9;9;9;9;9;9;12240;12240;221040;0;1440;9480;1320
4;4;4;6;6;9;9;9;9;396;180;468;36;72;0;72
5;6;8;8;8;8;9;9;9;13764;13404;21156;252;2904;3240;7008
3;4;5;9;9;9;9;9;9;4320;2016;6624;0;1056;96;864
3;5;7;7;7;8;8;9;9;1940;1508;1084;96;604;24;784
4;4;5;6;9;9;9;9;9;2400;1320;3864;0;672;48;600
3;3;5;5;7;8;9;9;9;322;106;182;20;32;24;30
4;5;7;7;7;8;9;9;9;4426;3562;4214;78;1856;468;1160
4;4;4;6;8;8;8;9;9;552;336;312;48;48;0;240
4;4;4;5;9;9;9;9;9;720;288;1008;0;144;0;144
6;9;9;9;9;9;9;9;9;10800;10800;216000;0;3600;7200;0
