i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;3;6;6;8;8;8;9;9;298;190;134;42;32;2;114
3;5;5;5;7;7;8;9;9;278;134;82;16;96;2;20
2;5;5;8;8;8;8;9;9;1044;828;468;188;92;4;544
3;5;6;6;6;7;8;9;9;618;78;246;6;38;4;30
3;6;8;8;8;9;9;9;9;7352;6920;19000;264;2196;1976;2484
5;5;5;7;8;8;9;9;9;4188;3216;4560;162;1152;642;1260
2;4;6;7;7;7;9;9;9;680;464;184;20;380;0;64
3;5;5;6;6;8;9;9;9;784;208;656;16;96;16;80
4;5;7;7;7;7;9;9;9;3532;2884;1004;68;2392;40;384
2;3;6;6;7;7;8;9;9;140;68;40;4;52;0;12
3;3;5;6;7;8;8;9;9;350;134;154;22;48;0;64
4;4;6;6;6;7;8;9;9;620;80;244;8;36;4;32
5;6;6;8;8;8;8;9;9;7264;6832;3536;816;744;96;5176
2;3;7;7;9;9;9;9;9;1164;732;1860;36;324;84;288
3;7;7;7;8;8;8;9;9;4572;4140;2340;348;888;36;2868
3;4;4;5;7;9;9;9;9;384;96;336;0;48;0;48
4;4;4;6;8;9;9;9;9;1152;504;1440;12;204;72;216
3;5;5;6;6;9;9;9;9;744;312;984;24;144;24;120
5;5;5;6;7;7;8;9;9;1074;498;366;18;384;6;90
4;6;6;6;6;9;9;9;9;2196;900;2988;36;432;36;396
6;7;8;8;8;8;8;9;9;18120;18048;8952;456;1176;96;16320
2;4;8;8;8;9;9;9;9;2316;1884;4596;96;624;432;732
2;8;8;9;9;9;9;9;9;5040;5040;27360;120;3480;720;720
2;6;6;6;9;9;9;9;9;2040;1608;3576;168;912;48;480
2;3;7;8;9;9;9;9;9;1452;876;2580;18;366;108;384
3;3;4;5;6;9;9;9;9;204;24;84;0;12;0;12
3;6;7;8;8;9;9;9;9;6436;5788;14948;188;1980;1520;2100
3;3;5;5;7;8;8;9;9;188;44;100;20;8;0;16
4;4;4;7;7;8;8;9;9;552;336;312;36;132;0;168
5;5;5;5;6;7;8;9;9;408;48;168;0;24;0;24
2;3;6;6;8;9;9;9;9;642;318;654;28;140;32;118
5;5;5;6;6;9;9;9;9;1440;576;2016;0;288;0;288
2;5;5;5;6;8;8;9;9;104;32;76;12;8;0;12
4;4;8;8;9;9;9;9;9;6720;5856;20064;0;2784;864;2208
3;5;8;9;9;9;9;9;9;6600;6168;26232;0;3228;1008;1932
4;6;6;8;9;9;9;9;9;8240;7376;23728;0;3240;1416;2720
3;3;4;7;7;8;9;9;9;910;190;242;12;92;28;58
3;5;5;5;6;9;9;9;9;372;156;492;12;72;12;60
2;4;5;6;8;8;8;9;9;422;242;190;58;40;2;142
6;6;7;7;7;8;8;9;9;6000;5424;3216;48;2208;36;3132
2;6;8;8;8;8;8;9;9;3096;2808;1512;384;192;0;2232
3;5;6;6;7;7;8;9;9;808;376;272;14;294;7;61
3;6;6;7;8;8;9;9;9;4092;3228;4548;128;1280;644;1176
3;4;6;7;7;7;8;9;9;674;458;190;18;370;6;64
2;3;4;6;8;8;9;9;9;436;76;140;4;24;24;24
3;7;7;7;7;9;9;9;9;5296;4864;8096;288;2480;272;1824
3;4;5;6;8;8;8;9;9;789;483;381;81;76;7;319
2;4;5;5;9;9;9;9;9;768;192;672;48;96;0;48
2;4;4;6;7;9;9;9;9;412;124;308;32;64;4;24
2;4;4;5;6;7;9;9;9;80;8;28;2;4;0;2
4;4;7;7;8;8;8;9;9;2928;2280;1608;264;408;24;1584
5;5;8;8;8;8;9;9;9;10728;10296;15624;504;2160;2520;5112
3;3;6;7;8;8;8;9;9;908;584;388;72;112;0;400
3;5;6;6;7;9;9;9;9;1950;1194;2694;58;600;86;450
4;4;6;8;8;9;9;9;9;4500;3420;8244;88;1320;660;1352
2;4;4;7;8;9;9;9;9;912;264;708;62;100;48;54
4;4;5;8;9;9;9;9;9;4080;2568;7800;0;1284;180;1104
4;6;8;8;9;9;9;9;9;10640;10208;41632;0;3864;3128;3216
2;4;7;8;8;9;9;9;9;2076;1536;3648;86;562;322;566
3;3;6;7;7;8;8;9;9;592;376;272;36;152;0;188
4;4;5;5;6;9;9;9;9;360;144;504;0;72;0;72
3;3;5;6;7;9;9;9;9;836;260;604;28;128;8;96
2;4;5;5;8;8;9;9;9;440;152;280;32;48;48;24
3;5;5;5;7;8;9;9;9;650;290;574;28;96;86;80
4;5;8;8;8;8;8;9;9;6768;6552;3168;828;444;72;5208
6;6;6;7;9;9;9;9;9;10800;10152;28728;0;4464;1512;4176
6;6;8;8;8;8;9;9;9;16800;16512;26688;0;3648;3744;9120
6;7;7;7;8;9;9;9;9;14280;13956;34644;0;5040;2694;6222
3;3;5;5;6;8;9;9;9;184;40;104;8;16;0;16
4;4;4;7;7;9;9;9;9;1248;600;1344;48;312;24;216
3;4;4;6;7;8;9;9;9;644;212;364;16;104;28;64
4;6;6;6;7;8;9;9;9;3498;1986;3198;24;1068;186;708
2;4;6;8;8;8;9;9;9;1512;1080;1512;80;336;248;416
2;4;6;6;7;8;9;9;9;704;344;520;28;192;32;92
4;6;7;7;8;8;8;9;9;5520;4872;2904;344;968;68;3492
