i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
2;3;5;5;7;7;9;9;9;118;46;26;8;32;0;6
4;4;4;5;6;7;8;9;9;102;12;42;0;6;0;6
2;4;5;9;9;9;9;9;9;2184;1032;3288;96;576;24;336
3;3;4;6;9;9;9;9;9;1632;192;672;0;96;0;96
3;4;7;8;8;8;8;9;9;2550;2190;1266;300;228;18;1644
3;6;6;8;8;8;9;9;9;5016;4152;6216;168;1296;1032;1656
2;4;5;5;7;7;8;9;9;116;44;28;8;32;0;4
3;3;5;6;8;9;9;9;9;1244;380;916;32;172;32;144
5;5;5;6;7;8;9;9;9;2364;1248;2208;18;600;174;456
4;5;6;6;7;9;9;9;9;2816;1736;4096;16;872;92;756
5;7;8;8;8;9;9;9;9;15480;15264;49536;0;3420;5208;6636
2;4;4;5;9;9;9;9;9;384;96;336;24;48;0;24
3;6;6;6;8;9;9;9;9;3336;2472;5304;128;1136;296;912
4;7;8;8;9;9;9;9;9;12000;11784;53016;0;4056;4188;3540
4;4;4;7;7;7;9;9;9;696;480;168;24;384;0;72
6;6;6;6;8;8;9;9;9;7200;5472;7488;0;2688;672;2112
3;6;6;6;7;7;9;9;9;2144;992;736;32;784;16;160
3;3;5;6;7;7;8;9;9;234;90;54;6;68;0;16
4;5;6;6;6;7;9;9;9;1844;224;748;8;108;8;100
5;7;7;8;8;9;9;9;9;13680;13248;38592;0;3816;3768;5664
3;3;4;5;8;8;8;9;9;236;56;52;8;8;0;40
3;4;6;7;7;7;9;9;9;1348;916;380;36;740;12;128
6;7;7;7;7;7;9;9;9;8880;8160;2640;0;6960;0;1200
2;3;5;6;6;8;9;9;9;184;40;104;8;16;0;16
4;5;7;8;9;9;9;9;9;7960;7096;24008;0;3072;1500;2524
2;5;6;8;9;9;9;9;9;2630;1982;5794;136;992;266;588
2;4;5;5;7;9;9;9;9;384;96;336;24;48;0;24
3;4;5;6;7;8;8;9;9;543;255;321;29;88;5;133
7;7;7;7;7;9;9;9;9;14400;14400;24480;0;7200;480;6720
7;7;7;7;8;9;9;9;9;16560;16560;41760;0;5760;3216;7584
4;4;5;7;7;9;9;9;9;2032;1168;2720;32;592;72;472
5;6;7;8;9;9;9;9;9;12040;11572;43724;0;4212;3358;4002
3;3;6;6;7;7;8;9;9;280;136;80;8;104;0;24
3;4;5;5;7;7;8;9;9;197;89;55;10;64;1;14
