encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(8,)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 1, 5)","(1, 1, 5)","(1, 1, 2, 2, 2)","(1, 2, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(2, 6)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(1, 1, 1, 1, 1, 3)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 3, 3)","(1, 1, 1)","(2, 3, 3)","(1, 1)","(1, 1, 1, 1)","(2, 2, 2, 2)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 2, 2)","(1, 1, 1, 1, 1, 1)","(2, 2, 4)","(1, 1, 1, 2, 3)","(1, 6)","(2, 2, 3)","(4, 4)","(1, 1, 1, 1, 1, 1, 2)","(7,)","(1, 7)","(1, 1, 2, 3)","(1, 1, 1, 1, 4)","(1, 3, 4)","(2,)","(1, 2, 2, 3)","(1, 1, 2, 2)","(1, 3, 3)","(1, 1, 6)","(1, 2, 2, 2)","(1, 1, 2, 4)","(1, 5)","(1, 1, 1, 1, 1, 1, 1, 1)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(3, 5)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 1, 1, 2, 5, 6, 7]",78,0,,144,8,,148,66,0,144,,72,182,60,352,180,240,64,288,276,,270,,,0,36,0,32,0,0,148,78,468,,,24,,288,24,48,,252,108,0,,12,24,0,0,24,0,0,0,450,,0,,264,180,216,426,0,112,,108,36
"[0, 0, 1, 1, 3, 3, 3, 3]",0,0,,5760,8,,48,192,0,0,,0,192,0,672,576,2400,0,0,0,,5472,,,0,0,0,16,0,0,768,48,576,,,0,,2880,0,0,,8064,2304,0,,0,40,0,0,0,0,0,0,1728,,0,,96,0,0,288,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 3, 4]",0,0,,4608,8,,72,174,0,0,,0,198,0,648,576,2040,0,72,72,,4536,,,0,0,0,18,0,0,672,54,648,,,0,,2520,0,0,,6552,1944,0,,0,38,0,0,0,0,0,0,1584,,0,,144,0,72,360,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 3, 5]",0,0,,3456,8,,96,156,0,0,,0,204,0,624,576,1680,0,144,144,,3600,,,0,0,0,20,0,0,576,60,720,,,0,,2160,0,0,,5040,1584,0,,0,36,0,0,0,0,0,0,1440,,0,,192,0,144,432,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 3, 6]",12,0,,2304,8,,72,144,0,288,,24,208,20,628,384,1420,8,96,96,,2856,,,0,12,0,22,0,0,512,60,504,,,0,,2016,0,0,,3696,1392,0,,0,34,0,0,0,240,0,0,1404,,0,,140,168,96,312,0,64,,24,0
"[0, 0, 1, 1, 3, 3, 3, 7]",24,0,,1152,8,,48,132,0,576,,48,212,40,632,192,1160,16,48,48,,2112,,,0,24,0,24,0,0,448,60,288,,,0,,1872,0,0,,2352,1200,0,,0,32,0,0,0,480,0,0,1368,,0,,88,336,48,192,0,128,,48,0
"[0, 0, 1, 1, 3, 3, 4, 4]",0,0,,3456,8,,96,156,0,0,,0,204,0,624,576,1680,0,144,144,,3600,,,0,0,0,20,0,0,576,60,720,,,0,,2160,0,0,,5040,1584,0,,0,36,0,0,0,0,0,0,1440,,0,,192,0,144,432,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 4, 5]",0,0,,2592,8,,124,138,0,0,,0,206,0,576,528,1360,0,264,264,,2832,,,0,0,0,22,0,0,484,66,696,,,0,,1800,0,96,,3864,1272,0,,0,34,0,0,0,0,0,0,1248,,0,,248,0,168,480,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 4, 6]",18,0,,1728,8,,104,126,0,208,,24,206,20,566,384,1130,12,204,200,,2208,,,0,12,0,24,0,0,424,66,540,,,0,,1616,0,64,,2800,1072,0,,4,32,0,0,8,160,0,0,1182,,0,,202,132,132,384,0,56,,28,0
"[0, 0, 1, 1, 3, 3, 4, 7]",36,0,,864,8,,84,114,0,416,,48,206,40,556,240,900,24,144,136,,1584,,,0,24,0,26,0,0,364,66,384,,,0,,1432,0,32,,1736,872,0,,8,30,0,0,16,320,0,0,1116,,0,,156,264,96,288,0,112,,56,0
