encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 1, 1)","(1, 6)","(2, 2, 3)","(7,)","(1, 1, 2, 3)","(2,)","(1, 1, 2, 2)","(1, 3, 3)","(1, 2, 2, 2)","(1, 5)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 2, 2, 2, 2, 3]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 0, 2, 2, 2, 2, 4]",0,0,,7,,12,108,48,108,8,282,690,0,0,0,900,,,6,14,0,324,32,36,,396,0,504,0,28,0,0,0,480,0,,18,48,36,0,24,,0,0
"[0, 0, 2, 2, 2, 2, 5]",0,0,,7,,8,96,96,112,16,276,540,0,0,0,648,,,12,16,0,272,34,24,,312,0,336,0,26,0,0,0,432,0,,12,96,24,0,48,,0,0
"[0, 0, 2, 2, 2, 2, 6]",0,0,,7,,4,84,144,116,24,270,390,0,0,0,396,,,18,18,0,220,36,12,,228,0,168,0,24,0,0,0,384,0,,6,144,12,0,72,,0,0
"[0, 0, 2, 2, 2, 3, 3]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 0, 2, 2, 2, 3, 4]",2,0,,7,,32,93,32,108,8,257,535,2,12,6,672,,,6,16,0,264,37,72,,294,0,378,0,26,0,0,0,398,0,,47,36,80,0,20,,2,0
"[0, 0, 2, 2, 2, 3, 5]",4,0,,7,,32,81,64,108,16,238,410,4,24,12,480,,,12,18,0,216,39,48,,228,0,252,0,24,0,0,0,340,0,,46,72,64,0,40,,4,0
"[0, 0, 2, 2, 2, 3, 6]",6,0,,7,,32,69,96,108,24,219,285,6,36,18,288,,,18,20,0,168,41,24,,162,0,126,0,22,0,0,0,282,0,,45,108,48,0,60,,6,0
"[0, 0, 2, 2, 2, 4, 4]",4,0,,7,,32,81,64,108,16,238,410,4,24,12,480,,,12,18,0,216,39,48,,228,0,252,0,24,0,0,0,340,0,,46,72,64,0,40,,4,0
"[0, 0, 2, 2, 2, 4, 5]",10,0,,7,,36,69,64,104,24,211,305,10,24,12,336,,,18,20,0,172,41,42,,168,0,168,0,22,0,0,0,274,0,,49,84,64,0,52,,10,0
